start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	359	162	63	182	96	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000352_000359_group.png
370	389	193	70	220	94	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000370_000389_group.png
400	405	237	79	249	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000400_000405_group.png
410	428	266	62	291	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000410_000428_group.png
438	462	329	64	378	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000438_000462_group.png
467	471	397	64	419	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000467_000471_group.png
477	507	422	57	456	99	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000477_000507_group.png
618	642	211	99	345	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000618_000642_group.png
649	673	322	96	352	116	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000649_000673_group.png
692	726	161	172	222	213	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000692_000726_group.png
734	753	91	197	119	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000734_000753_group.png
855	916	215	37	421	74	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000855_000916_group.png
946	990	231	197	320	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000946_000990_group.png
1157	1196	262	63	359	87	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001157_001196_group.png
1232	1239	338	206	360	210	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001232_001239_group.png
1245	1262	366	198	405	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001245_001262_group.png
1317	1354	267	86	427	129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001317_001354_group.png
1383	1414	420	192	475	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001383_001414_group.png
1515	1539	89	247	112	266	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001515_001539_group.png
1569	1586	145	251	182	274	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001569_001586_group.png
1595	1604	189	238	204	257	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001595_001604_group.png
